kategori,judul,link,waktu_lengkap,waktu_relatif,gambar,isi_berita
Infrastruktur,MRT Ungkap Rencana 'Sulap' Kawasan Kota Tua,https://finance.detik.com/infrastruktur/d-8656204/mrt-ungkap-rencana-sulap-kawasan-kota-tua,"Rabu, 09 Sep 2026 23:13 WIB",4 jam yang lalu,https://awsimages.detik.net.id/community/media/visual/2026/06/17/rencana-revitalisasi-kawasan-kota-tua-jakarta-1781630437729_43.jpeg?w=210&q=90,"PT MRT Jakarta (Perseroda) berencana mengembangkan Kota Tua dengan konsep yang sama dengan di Blok M, namun tetap mempertahankan identitas heritage kawasan. Pengembangan ini sejalan dengan rencana perpanjangan jalur MRT hingga Kota Tua.

Kepala Divisi Business Planning & Expansion MRT Jakarta R. Samuel Ryan Pradipta Pranowo mengatakan, pengembangan kawasan berbasis Transit Oriented Development (TOD) tidak cukup hanya dengan membangun ruang fisik, tetapi juga perlu dibarengi dengan ruang untuk beraktivitas.

Hal tersebut menjadi bagian dari konsep placemaking dengan menghidupkan kembali kawasan, tidak hanya secara bisnis tetapi juga untuk mendukung kegiatan masyarakat perkotaan. Konsep inilah yang diterapkan di Blok M, dan selanjutnya di Kota Tua.

Placemaking sendiri merupakan proses menciptakan atau menghidupkan sebuah ruang sehingga ruang tersebut menjadi tempat yang punya fungsi, karakter, aktivitas, dan makna bagi orang yang menggunakannya.

""Area kota tua itu akan kami revitalisasi juga. Mudah-mudahan tetap hidup dengan mempertahankan identitas heritage-nya. Jadi heritage Chinatown-nya, Little Amsterdam-nya itu nggak hilang, tapi tetap area-nya akan dibuat hidup dengan kombinasi retail, komunitas, dan lain sebagainya."" ujar Samuel, dalam acara Workshop MRT Fellowship 2026 di Wisma Nusantara, Jakarta, Rabu (9/9/2026).

Dalam konsep besar dari placemaking sendiri, pengembangan kawasan mengacu pada karakter dan demografi dari kawasan tersebut sehingga setiap tempat punya 'soul' atau jiwa. Hal ini yang menjadi identitas sekaligus keunikan dari tempat-tempat tersebut.

Samuel menjelaskan, salah satu kunci untuk mengembangkan kawasan dengan konsep ini ialah melalui activity generation partnership, mendorong aktivtas dengan melibatkan komunitas di kawasan tersebut. Konsep ini mengakomodasi masyarakat yang ingin berkumpul dan beraktivitas.

Seperti halnya di Blok M, yang memiliki beragam aktivitas komunitas di dalamnya. Blok M saat ini terus berkembang, tidak hanya sebagai tempat berkumpul dan beraktivtas, tetapi juga menjadi pusat kuliner dan lifestyle.

Di Blok M, identitas kawasan dibangun sebagai urban youth hub untuk anak muda, sekaligus membawa unsur nostalgia bagi generasi terdahulu. Sementara di Kota Tua, lanjut Samuel, elemen Glodok, Pecinan, dan heritage tetap dipertahankan.

Selain itu, di beberapa area di kawasan tersebut juga akan dikombinasikan dengan unsur yang lebih modern atau futuristik, mengingat kawasan Glodok juga dulunya dikenal dengan pusat elektronik. Heritage dan modern merupakan dua sisi yang berlawanan, tetapi akan dikombinasikan di dalam kawasan tersebut.

""Terkait komunitas apa, misalnya tadi di Kota Tua nanti akan banyak heritage, movie, dan seni. Mungkin komunitas pertama yang akan ditargetkan pertama untuk dirangkul. Misalkan komunitas yang suka ngelukis, art performer. Jadi setelah placemaking ditentukan temanya, komunitas sekitar dirangkul, nanti berikutnya baru komunitas yang sesuai tema itu akan dirangkul juga dari luar,"" ujar Samuel.

Pengembangan placemaking tersebut nantinya akan berjalan seiring dengan pembangunan MRT menuju Kota Tua. Samuel belum merincikan kapan revitalisasi kawasan akan dimulai, mengingat saat ini pembangunan masih berfokus pada penyelesaian Stasiun Thamrin dan Monas yang ditargetkan beroperasi pada Desember 2027.

Revitalisasi kawasan Kota Tua kemungkinan akan dilakukan setelah jalur MRT Jakarta tersambung hingga kawasan tersebut. Adapun dalam rencana besarnya, jalur MRT North-South ditargetkan tembus ke Kota Tua pada 2029 mendatang.

""(Mulai revitalisasi kawasan) Kota itu akan seiring sejalan dengan target kami 2029, kota sudah dibuka. Nah sebetulnya setelah Extended Concourse, tahun depan, di Desember itu mungkin palcemaking terdekat ada di Thamrin sama di Monas. Karena stasiun Thamrin dan Monas itu target beroperasinya di bulan Desember,"" katanya."
Berita Ekonomi Bisnis,"RUU Ketenagakerjaan Dinilai Jauh dari Harapan, Buruh Besok Demo Besar",https://finance.detik.com/berita-ekonomi-bisnis/d-8656192/ruu-ketenagakerjaan-dinilai-jauh-dari-harapan-buruh-besok-demo-besar,"Rabu, 09 Sep 2026 22:36 WIB",4 jam yang lalu,https://awsimages.detik.net.id/community/media/visual/2026/01/08/buruh-demo-tolak-ump-2026-minta-upah-layak-1767860482938_43.jpeg?w=210&q=90,"Koalisi Besar Perjuangan Buruh Indonesia (KBPBI) akan menggelar aksi serentak di 30 kota/kabupaten pada Kamis (10/9/2026). Aksi tersebut melibatkan sekitar 50 ribu buruh.

Selain menggelar aksi, massa buruh juga akan melakukan audiensi dengan DPRD, pemerintah kabupaten/kota maupun pemerintah provinsi untuk menyampaikan aspirasi terkait substansi RUU tersebut.

Ketua Umum Konfederasi Aliansi Serikat Buruh Indonesia (KASBI) Sunarno mengatakan, aksi tersebut merupakan bentuk pengawalan terhadap pembahasan RUU Ketenagakerjaan yang dinilai masih jauh dari harapan pekerja. Buruh menilai masih terdapat sejumlah persoalan krusial yang belum terakomodasi.

""10 September 2026 kami akan melakukan aksi pengawalan di berbagai daerah di Indonesia. Setidaknya ada 30 daerah kota/kabupaten yang akan melakukan aksi turun ke jalan. Untuk estimasi besok sebagai aksi permulaan, perkiraan ada sekitar 50.000 buruh,"" kata Sunarno dalam keterangan tertulis, Rabu (9/9/2026).

Sementara itu, Ketua Umum Gerakan Serikat Buruh Indonesia (GSBI) Rudi HB Daman menegaskan RUU inisiatif DPR masih belum menjawab persoalan utama buruh. Menurut Rudi, sejumlah ketentuan dalam RUU tersebut dinilai masih mempertahankan semangat Omnibus Law yang selama ini ditolak oleh kalangan buruh.

""RUU inisiatif DPR ini adalah masih jauh dari harapan buruh. Undang-undang ini salah satunya masih memiliki semangat Omnibus Law,"" kata Rudi.

Dia mencontohkan ketentuan mengenai pemagangan yang dinilai berpotensi menjadi skema baru politik upah murah dan praktik outsourcing. KBPBI, kata Rudi, meminta skema pemagangan dihapuskan. Jika tetap diatur, pemagangan seharusnya hanya diperuntukkan bagi siswa dan mahasiswa dalam konteks pendidikan dengan durasi maksimal tiga bulan.

Selain pemagangan, persoalan lain yang disoroti adalah Perjanjian Kerja Waktu Tertentu (PKWT). Rudi menyebut RUU tersebut masih mengatur PKWT hingga empat tahun.

""Di Koalisi Besar, itu tuntutan kita adalah dihapuskan. Tapi kita memberikan kompromi kepada pemerintah, kepada DPR, kalaupun diatur hanya satu tahun,"" ujarnya.

Rudi juga mengkritik banyaknya ketentuan dalam RUU yang didelegasikan kepada pemerintah melalui Peraturan Pemerintah, Peraturan Presiden, maupun Peraturan Menteri. Berdasarkan catatan yang disampaikannya, terdapat sekitar 43 pasal yang didelegasikan kepada Peraturan Pemerintah, 16 pasal kepada Peraturan Menteri, dan sekitar tiga pasal kepada Peraturan Presiden.

""Ketika undang-undang banyak mendelegasikan kepada Peraturan Pemerintah, maka esensi demokratisasinya itu hilang,"" tegasnya.

Persoalan pengupahan juga menjadi perhatian buruh. Rudi menilai formula upah minimum yang masih menggunakan variabel alfa berpotensi kembali memicu polemik di kalangan pekerja.

Karena itu, KBPBI mendesak pemerintah dan DPR tidak menggunakan alfa dalam penetapan upah minimum, melainkan menggunakan indeks tertentu yang dinilai lebih menjamin peningkatan kesejahteraan pekerja.

Rudi menegaskan, aksi pada 10 September merupakan bentuk penampungan aspirasi basis buruh di daerah sekaligus peringatan kepada DPR dan pemerintah agar membuka ruang perbaikan terhadap RUU tersebut.

Menurutnya, sejumlah basis buruh di daerah sebenarnya telah mendesak agar aksi besar langsung digelar di Jakarta. Namun, pimpinan serikat buruh masih memilih menempuh komunikasi dan memberikan ruang kepada DPR serta pemerintah untuk merespons tuntutan mereka.

""Kita sebenarnya kawan-kawan daerah ini sudah mendesak untuk segera bergerak ke Jakarta,"" katanya."
Berita Ekonomi Bisnis,Menaker soal Formula Upah Minimum 2027: Tunggu Aja!,https://finance.detik.com/berita-ekonomi-bisnis/d-8656183/menaker-soal-formula-upah-minimum-2027-tunggu-aja,"Rabu, 09 Sep 2026 22:22 WIB",4 jam yang lalu,https://awsimages.detik.net.id/community/media/visual/2026/04/09/menaker-yassierli-1775719774015_43.jpeg?w=210&q=90,"Kalangan buruh mulai menghitung besaran kenaikan upah minimum tahun 2027. Sejumlah kelompok buruh mengusulkan kenaikan upah minimum naik sebesar 7% hingga 9%.

Lantas apakah pemerintah sudah menghitung formula upah minimum tahun 2027?

Menteri Ketenagakerjaan Yassierli menyampaikan bahwa saat ini pemerintah tengah melakukan pembahasan terkait formula upah minimum. Dalam pembahasan tersebut, usulan dari berbagai pihak akan ditampung.

""Tunggu aja, kita usulkan dulu,"" kata Yassierli saat ditanya terkait formula upah minimum, Rabu (9/9/2026).

Saat ditanya apakah pembahasan formula upah minimum 2027 akan berkaitan dengan revisi Undang-Undang Ketenagakerjaan, Yassierli mengatakan pemerintah juga akan mengupayakannya masuk dalam kerangka tersebut.

""(Pakai UU Ketenagakerjaan) Kita usahakan juga,"" ujarnya.

Sebelumnya, Presiden Konfederasi Serikat Pekerja Indonesia (KSPI) Said Iqbal mengusulkan kenaikan upah minimum harus tetap mempertimbangkan inflasi, pertumbuhan ekonomi, dan indeks tertentu atau alfa. Ia mengusulkan indeks alfa sebesar 0,5 sampai 0,9.

""Buruh akan mengusulkan kenaikan upah minimum 2027 berdasarkan inflasi, pertumbuhan ekonomi, dan indeks tertentu. Indeks tertentu yang kami usulkan dari buruh setidak-tidaknya dari KSPI dan KSP-PB adalah 0,5 sampai 0,9,"" kata Said di kompleks DPR RI Senayan, Jakarta, Senin (7/9/2026).

Ia memperkirakan inflasi berada di kisaran 3%, sedangkan rata-rata pertumbuhan ekonomi sekitar 5,2-5,3%. Berdasarkan perhitungan tersebut, Said memperkirakan kenaikan upah minimum 2027 dapat berada pada kisaran 7,5% hingga 8,5%.

""Kalau diambil rata-rata (pertumbuhan ekonomi) 5,2% atau 5,3%, ditambah inflasi 3 sekian persen, kita udah ketemu tuh kira-kira 8,4% atau 8,5%. Dikalikan aja 0,9 (alfa). Maka bisa diperkirakan kenaikan upah minimum 2027 itu adalah berkisar 7,5% sampai dengan 8,5%,"" jelas dia.

Sebagai informasi, penghitungan kenaikan upah minimum 2026 menggunakan formula inflasi + (pertumbuhan ekonomi x alfa). Pemerintah menetapkan rentang alfa sebesar 0,5-0,9.

Alfa merupakan indeks tertentu yang menggambarkan kontribusi tenaga kerja terhadap pertumbuhan ekonomi. Besaran alfa menjadi salah satu komponen yang menentukan persentase kenaikan upah minimum.

Namun, Said menegaskan usulannya masih berupa perkiraan. Besaran usulan masih menunggu data resmi Badan Pusat Statistik (BPS) mengenai inflasi dan pertumbuhan ekonomi yang menjadi dasar penghitungan upah minimum.

""Tentu menunggu laporan resmi BPS tentang inflasi dan pertumbuhan ekonominya, dihitung bukan tahun kalender tapi tahun takwim. September 2025 sampai Oktober 2026. Berarti menunggu BPS. Kan kita belum tau September dan Oktober berapa inflasi dan berapa pertumbuhan ekonominya,"" jelas dia.

Sementara itu, Presiden Konfederasi Serikat Pekerja Nusantara (KSPN) Ristadi menyoroti kesenjangan upah minimum antardaerah yang dinilai semakin lebar. Ristadi mencontohkan upah minimum di Cirebon sekitar Rp 2,8 juta, sedangkan Kota Bekasi sudah mencapai sekitar Rp 5,9 juta.

""Selisihnya sudah 100% lebih, misal Cirebon Rp 2,8 juta, di kota Bekasi sudah Rp 5,9 juta, ini sudah termasuk ekstrem. Maka secara prinsip KSPN sedang meminta reformasi aturan upah minimum melalui UU Ketenagakerjaan yang baru yang sedang proses dibahas di DPR,"" kata Ristadi dihubungi detikcom.

Dengan skema tersebut, pekerja pada sektor industri sejenis akan memiliki upah minimum yang sama di seluruh Indonesia. Sistem tersebut dinilai dapat memberikan keadilan bagi pekerja sekaligus menciptakan persaingan yang lebih sehat bagi pengusaha.

Namun, apabila sistem pengupahan tahun depan masih menggunakan formula yang berlaku saat ini, KSPN mengusulkan persentase kenaikannya tidak disamaratakan di seluruh Indonesia.

KSPN mengusulkan kenaikan upah minimum dibagi menjadi tiga kategori. Berikut rinciannya:

1. Upah Minimum di atas Rp 4,5 juta= 3,5% + (5,7% x 0,6)= 3,5% + 3,42%= 6,92% bulatkan 7%

2. Upah Minimum Rp 3,5 juta sampai dengan Rp 4,5 juta= 3,5% + (5,7% x 0,8)= 3,5% + 4,56%= 8,06% bulatkan 8%

3. Upah Minimum di bawah Rp 3,5 juta= 3,5% + (5,7% x 1)= 3,5% + 5,7%= 9,2%"
Berita Ekonomi Bisnis,Ini Kesalahan Promosi di WhatsApp yang Bikin Calon Customer Kabur,https://finance.detik.com/berita-ekonomi-bisnis/d-8656172/ini-kesalahan-promosi-di-whatsapp-yang-bikin-calon-customer-kabur,"Rabu, 09 Sep 2026 22:11 WIB",5 jam yang lalu,https://awsimages.detik.net.id/community/media/visual/2026/09/09/detikevent-whatsapp-marketing-1788966625671_43.jpeg?w=210&q=90,"WhatsApp bisa menjadi salah satu channel paling efektif untuk berkomunikasi dengan calon customer. Tapi kalau digunakan dengan cara yang kurang tepat, broadcast WhatsApp justru bisa membuat orang merasa terganggu dan memilih mengabaikan pesan dari bisnis kamu.

Salah satu kesalahan yang masih sering dilakukan pelaku usaha adalah mengirim pesan promosi dengan pola yang sama berulang kali.

Mulai dari judul dengan huruf kapital semua, harga yang dicoret, hingga ajakan ""order sekarang"" tanpa memberikan konteks yang membuat customer merasa pesan tersebut memang relevan untuk mereka.

Padahal, broadcast WhatsApp seharusnya tidak hanya berisi promosi. Cara menyusun pesan, memilih informasi yang disampaikan, hingga menentukan waktu pengiriman juga bisa memengaruhi respons calon customer.

Broadcast Terlalu Promosi Bisa Terasa Seperti Spam

Ketika setiap pesan yang masuk hanya berisi penawaran, diskon, atau ajakan membeli, customer bisa merasa bahwa mereka sedang menerima spam, bukan sedang mendapatkan informasi yang bermanfaat.

Pesan yang terlalu berjualan juga berisiko membuat penerima kehilangan ketertarikan untuk membuka pesan berikutnya. Dalam jangka panjang, hal ini dapat mempengaruhi hubungan bisnis dengan customer dan membuat komunikasi melalui WhatsApp menjadi kurang efektif.

Belajar Membuat Broadcast WhatsApp yang Lebih Efektif

Kalau kamu masih bingung bagaimana membuat broadcast yang tidak terasa seperti spam, kelas WhatsApp Marketing: Maksimalin Cuan, Cuma Pakai WhatsApp Doang!!! Batch 3 bisa menjadi salah satu pilihan untuk mempelajari strateginya.

Kelas online yang berlangsung pada Jumat, 18 September 2026 ini akan membahas cara menyusun broadcast yang informatif tanpa menghilangkan tujuan penjualan. Peserta juga akan mempelajari copywriting melalui studi kasus yang dekat dengan kebutuhan pelaku bisnis sehari-hari.

Cocok untuk Pelaku Usaha yang Ingin Maksimalkan WhatsApp

Kelas ini ditujukan untuk pemilik usaha yang sudah menggunakan WhatsApp sebagai salah satu channel penjualan maupun yang baru ingin membangun sistem komunikasi digital dari awal.

Kalau selama ini broadcast WhatsApp kamu belum memberikan hasil yang maksimal, mungkin masalahnya bukan pada produknya, tetapi pada cara pesan tersebut disampaikan.

Yuk, daftarkan dirimu melaluidetikevent!"
Berita Ekonomi Bisnis,Pembukuan Usaha Jasa Kamu Masih Manual? Pelajari Accurate Lewat Pelatihan Ini!,https://finance.detik.com/berita-ekonomi-bisnis/d-8656160/pembukuan-usaha-jasa-kamu-masih-manual-pelajari-accurate-lewat-pelatihan-ini,"Rabu, 09 Sep 2026 22:03 WIB",5 jam yang lalu,https://awsimages.detik.net.id/community/media/visual/2026/09/08/detikevent-accurate-service-company-1788883745552_43.jpeg?w=210&q=90,"Masih pakai Excel atau bahkan catatan tulisan tangan buat pembukuan usaha jasa kamu? Risikonya bukan cuma buang waktu, tapi juga rawan salah hitung yang berujung ke keputusan bisnis yang keliru.

ACCURATE FOR SERVICE COMPANY: Pelatihan Akuntansi Jasa Berbasis Accurate Batch 4 hadir buat pelaku usaha jasa yang mau naik level dari pencatatan manual ke sistem digital yang lebih rapi dan real-time.

Kenapa Harus Migrasi dari Manual ke Sistem Digital

Pencatatan manual gampang human error, susah ditelusuri kalau ada selisih, dan bikin laporan keuangan telat setiap kali dibutuhkan mendadak, misalnya buat ajukan pinjaman atau evaluasi bulanan. Software akuntansi seperti Accurate bantu proses ini jadi lebih cepat dan minim drama.

Yang Dipelajari di Pelatihan Ini

Digelar Rabu, 16 September 2026 hingga Jumat, 18 September 2026, pukul 18.30-20.30 WIB, secara online, pelatihan ini mengajak peserta praktik langsung mengelola transaksi usaha jasa di Accurate. Mulai dari pencatatan penjualan jasa, kas dan bank, transaksi penyesuaian, sampai alur lengkap laporan keuangan siap pakai.

Siapa yang Cocok Ikut

Pelatihan ini pas buat pelaku usaha jasa yang masih mengandalkan cara manual, staf administrasi dan keuangan yang mau upgrade skill, sampai mahasiswa akuntansi yang mau paham sistem kerja software akuntansi sungguhan, bukan cuma teori di kelas.

Jangan tunggu laporan makin berantakan. Amankan slot pelatihan Accurate for Service Company Batch 4 sekarang didetikevent."
Berita Ekonomi Bisnis,Prabowo Ungkap Kata Pakar: 2050 RI Negara Keempat Ekonomi Terbesar Dunia,https://finance.detik.com/berita-ekonomi-bisnis/d-8656126/prabowo-ungkap-kata-pakar-2050-ri-negara-keempat-ekonomi-terbesar-dunia,"Rabu, 09 Sep 2026 21:15 WIB",6 jam yang lalu,https://awsimages.detik.net.id/community/media/visual/2026/09/09/presiden-prabowo-subianto-dalam-hut-ke-25-demokrat-1788961314954_43.png?w=210&q=90,"Presiden Prabowo Subianto menyebut pakar dan institusi dunia meramalkan bahwa Indonesia akan menjadi negara dengan ekonomi terbesar keempat dunia pada 2050.

Hal ini diungkapkan Prabowo dalam acara perayaan HUT Ke-25 Partai Demokrat yang disaksikan secara virtual, Rabu (9/9/2026).

""Semua pakar, semua institusi dunia menyampaikan bahwa Indonesia tahun 2050 akan menjadi negara keempat. Kita akan menjadi negara keempat ekonominya terbesar di dunia. Mereka mengatakan kita akan menjadi one of the great powers,"" ujar Prabowo.

Namun di sisi lain, Prabowo mengatakan, dari omongan para pakar tersebut juga bahwa masyarakat Indonesia terkadang belum menyadari besarnya potensi yang dimiliki Indonesia.

""Mereka mengatakan kadang-kadang orang Indonesia ini tidak sadar betapa besar dan betapa potensi kuat kita,"" kata Prabowo.

Prabowo menambahkan pada masa Indonesia menjadi negara dengan ekonomi terbesar keempat di dunia nanti, para pemimpinnya adalah generasi muda saat ini.

Dengan begitu, tugas pemerintah saat ini adalah membuat suatu pondasi yang kuat untuk generasi anak-anak muda Indonesia.

""Yang ingin saya sampaikan, 2050 adalah 24 tahun lagi. 24 tahun lagi itu adalah masa yang muda-muda. Pak SBY dan saya, ya kita generasi ibarat kami adalah anak tangga yang akan digunakan oleh generasi yang lebih muda kita untuk naik, untuk mengambil alih tanggung jawab, untuk meneruskan kebangkitan bangsa Indonesia,"" terang Prabowo."
Moneter,Kapan Pembukaan Rekening buat Masyarakat Dimulai? Ini Jawabannya,https://finance.detik.com/moneter/d-8656071/kapan-pembukaan-rekening-buat-masyarakat-dimulai-ini-jawabannya,"Rabu, 09 Sep 2026 20:47 WIB",6 jam yang lalu,https://awsimages.detik.net.id/community/media/visual/2026/08/20/jaga-pertumbuhan-ekonomi-nasional-pemerintah-perkuat-sektor-strategis-1787215028622_43.jpeg?w=210&q=90,"Pemerintah menyiapkan program pembukaan rekening untuk masyarakat. Kebijakan ini merupakan perintah Presiden Prabowo Subianto kepada jajarannya dalam rapat terbatas soal pertumbuhan ekonomi Senin (7/9/2026).

Menteri Koordinator Perekonomian Airlangga Hartarto mengatakan pembukaan rekening ini akan dibahas bersama Bank Indonesia (BI) dan Otoritas Jasa Keuangan (OJK).

""Kita akan siapkan dalam waktu dekat. Roll out-nya kita akan bahas dengan BI dan OJK,"" ujar Airlangga di Kompleks Istana Kepresidenan, Jakarta Pusat, Rabu (9/9/2026).

Dia mengatakan masih perlu ada rapat teknis untuk membentuk regulasinya kemudian masuk dalam program Dewan Nasional Keuangan Inklusif.

""Kita siapkan. Mungkin nanti sesudah dirapatkan teknis, kita siapkan regulasinya, masuk ke dalam Dewan Nasional Keuangan Inklusif, kemudian baru sesudah itu kita buatkan timeline-nya,"" terang Airlangga.

Airlangga menambahkan sebelum akhir tahun ini persiapan pembukaan rekening untuk masyarakat sudah bisa dimulai.

""Insyaallah, kita sudah bisa mulai,"" tutur Airlangga."
Berita Ekonomi Bisnis,Kopdes Merah Putih Bakal Gandeng PNM dan PT Pos,https://finance.detik.com/berita-ekonomi-bisnis/d-8656057/kopdes-merah-putih-bakal-gandeng-pnm-dan-pt-pos,"Rabu, 09 Sep 2026 20:33 WIB",6 jam yang lalu,https://awsimages.detik.net.id/community/media/visual/2026/07/06/lokasi-kopdes-merah-putih-di-atas-gunungmasigit-1783335021447_43.jpeg?w=210&q=90,"Koperasi Desa/Kelurahan Merah Putih bakal menggandeng BUMN untuk memperkuat layanan. BUMN itu adalah PT Permodalan Nasional Madani (PNM) dan PT Pos Indonesia.

Chief Operation Officer Danantara sekaligus Kepala Badan Pengaturan BUMN Dony Oskaria mengatakan PNM nantinya akan membuka kantor di Kopdes. PNM menyalurkan pembiayaan kepada masyarakat desa dengan bunga yang lebih rendah.

Langkah ini dilakukan guna memutus mata rantai rentenir.

""Kita ingin memutus mata rantai rentenir di desa. PNM nanti akan membuka kantor di Koperasi Desa. Dalam rangka apa? Menyalurkan kredit untuk menghindari adanya, sekarang kan banyak ya saudara-saudara kita kena rentenir dan lain sebagainya. Nanti dengan bunga 8%. Ya, jadi dia akan menjadi collecting agent dan juga distribution agent-nya,"" jelas Dony saat ditemui di Kantor Kementerian Keuangan, Jakarta, Rabu (9/9/2026).

Kopdes juga akan menjadi agen layanan logistik yang diharapkan dapat mempermudah masyarakat dalam mengirimkan barang. Di mana Kopdes akan berkerja sama dengan PT Pos Indonesia.

""Kemudian juga, untuk teman-teman saudara-saudara kita, sekarang kan eranya itu era online kan, yang berbisnis di desa, lalu bagaimana kalau ada order pick-up-nya? PT Pos Indonesia akan bekerja sama dengan seluruh Koperasi Desa menjadi channel untuk logistik, agennya logistik PT Pos Indonesia,"" kata Dony.

Kemudian, Kopdes Merah Putih juga akan menjadi menjadi tempat bagi masyarakat untuk menarik uang dan setor tunai. Dalam hal ini Kopdes akan menjadi agennya BRILink.

""Sekarang ini kan banyak orang tidak punya akses perbankan masyarakat kita. Nah, nanti dengan adanya Kopdes, Kopdes ini akan menjadi BRILink, akan menjadi agennya BRILink. Di mana masyarakat desa bisa melakukan penarikan dan setoran uang di situ,"" terang Dony."
Infrastruktur,"Otorita IKN Minta Tambah Rp 15,8 Triliun, Purbaya Jawab Begini",https://finance.detik.com/infrastruktur/d-8656017/otorita-ikn-minta-tambah-rp-15-8-triliun-purbaya-jawab-begini,"Rabu, 09 Sep 2026 20:15 WIB",7 jam yang lalu,https://awsimages.detik.net.id/community/media/visual/2026/03/22/ikn-buka-kunjungan-selama-libur-lebaran-2026-1774143191357_43.jpeg?w=210&q=90,"Menteri Keuangan Purbaya Yudhi Sadewa mengaku belum menerima usulan anggaran tambahan dari Otorita Ibu Kota Nusantara (OIKN). Tambahan anggaran yang diajukan sebesar Rp 15,8 triliun untuk pagu indikatif OIKN tahun 2027.

Purbaya juga belum memberikan lampu hijau untuk penambahan anggaran pembangunan IKN. Ia mengaku akan terlebih dahulu mempelajari usulan anggaran tersebut.

""Saya nggak tahu, saya harus lihat dulu suratnya seperti apa, alasan seperti apa,"" ungkap Purbaya kepada wartawan di kantor Kemenkeu, Jakarta, Rabu (9/9/2026).

Sebagai informasi, tambahan anggaran diusulkan oleh Sekretaris OIKN Bimo Adi Nursanthyasto, dalam rapat bersama Komisi II pada Selasa (1/9) kemarin. Tambahan anggaran tersebut akan dialokasikan untuk pembangunan fisik, sarana dan prasarana pendukung pembangunan IKN batch II-III.

Dalam rapat tersebut, Bimo menjelaskan pagu indikatif OIKN baru tercatat sebesar Rp 6,7 triliun. Padahal total kebutuhan anggaran untuk pembangunan IKN mencapai Rp 22,5 triliun.

""Dari total kebutuhan anggaran Otorita IKN tahun anggaran 2027 sebesar Rp 22,5 triliun telah dialokasikan dalam pagu indikatif sebesar Rp 6,7 triliun sehingga masih terdapat kebutuhan tambahan anggaran sebesar Rp 15,8 triliun yang terdiri dari pembangunan IKN batch kedua sebesar Rp 7,22 triliun, pembangunan IKN batch ketiga sebesar Rp 8,57 triliun,"" ungkap Bimo dikutip dari YouTube TV Parlemen."
Berita Ekonomi Bisnis,"Bulog Minta Jatah Minyakita 100%, Mendag Tegaskan UMKM Harus Kebagian",https://finance.detik.com/berita-ekonomi-bisnis/d-8655884/bulog-minta-jatah-minyakita-100-mendag-tegaskan-umkm-harus-kebagian,"Rabu, 09 Sep 2026 20:00 WIB",7 jam yang lalu,https://awsimages.detik.net.id/community/media/visual/2026/08/20/menteri-perdagangan-mendag-budi-santoso-1787211883943_43.jpeg?w=210&q=90,"Menteri Perdagangan (Mendag) Budi Santoso alias Busan menegaskan pihaknya belum berencana melakukan perubahan kebijakan terkait persentase penyaluran Minyakita hasil domestic market obligation (DMO) yang dilakukan oleh BUMN sektor pangan.

Ia menjelaskan dalam aturan yang ada, BUMN pangan seperti Bulog dan ID FOOD hanya diwajibkan untuk menyalurkan 35% dari seluruh pasokan DMO Minyakita ke masyarakat. Namun dalam praktiknya, para BUMN pangan ini secara total menyalurkan 51% dari produk Minyakita.

Lagi pula menurutnya di luar BUMN, banyak UMKM ikut terlibat sebagai distributor DMO Minyakita. Atas dasar inilah menurutnya tidak perlu meningkatkan persentase DMO Minyakita yang harus disalurkan Bulog dan ID FOOD untuk menjaga usaha-usaha kecil ini.

""Ini kan 35% ya, terus realisasinya kan sudah mencapai 51%. Jadi sementara memang belum 100%, kenapa? Karena juga banyak UMKM, distributor yang lain itu menjadi distributor Minyakita. Jadi kan harus bareng-bareng,"" kata Busan dalam saat ditemui di AEON Mall BSD City, Tangerang, Rabu (9/9/2026).

Ketika ditanya mengenai kemungkinan adanya penyesuaian atau kenaikan aturan penyaluran DMO Minyakita oleh BUMN pangan ke depan, Budi menegaskan bahwa pemerintah masih melihat perkembangan situasi di lapangan secara dinamis.

Sebab pihaknya perlu untuk menjaga keseimbangan penyaluran Minyakita antara BUMN Pangan dan pelaku usaha lainnya.

""Ya sambil berjalan saja, kan dinamikanya seperti itu. Jadi kan sekarang masih UMKM yang berbarengan juga dengan Bulog, dengan ID FOOD, tapi kan nggak ada masalah selama ini ya. Jadi kita juga harus kasih kesempatan kepada UMKM yang lain,"" pungkasnya.

Sebelumnya, Perum Bulog menunggu keputusan Kementerian Perdagangan atas usulan agar porsi penyaluran Minyakita melalui BUMN pangan ditingkatkan menjadi 100% dari realisasi domestic market obligation (DMO).

Direktur Utama Perum Bulog Ahmad Rizal Ramdhani mengatakan usulan peningkatan porsi tersebut telah disampaikan secara tertulis kepada Menteri Perdagangan (Mendag).

""Kami sudah mengajukan secara tertulis kepada Pak Mendag untuk kenaikan DMO untuk BUMN,"" kata Rizal seusai meninjau operasi pasar di Pasar Jatinegara, Jakarta Timur, Sabtu (5/9) seperti dikutip dari Antara.

Rizal mengatakan Bulog mengajukan peningkatan porsi penyaluran hingga 100% sesuai arahan Menteri Pertanian Andi Amran Sulaiman. Menurut Rizal, peningkatan porsi penyaluran melalui BUMN pangan diusulkan untuk memperkuat ketersediaan Minyakita di pasar."
